N,sample,seed,order_per_subinterval,rank,h1_gap,eta_f_h1,cluster_relative_error,splitting_relative_error,lower_external_gap_relative,upper_external_gap_relative,maximum_coordinate_frequency,measurement_and_solve_seconds,index_success,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10
672,45,2031172109,512,164,0.0003390193573559,0.0005865619457564,9.093599036186789e-08,3.900475733344041e-08,0.2139572607860624,0.2457425062440102,68.90730881735284,1.007357999915257,1,35.91529784347453,67.99127658582078,67.99128197974268,100.06725983821214,117.84172330548384,117.84172607085816,149.91770615801076,149.9177120055142,186.7588629339305,186.75887724683253
672,46,2031172110,512,163,0.0001901451908852,0.0005317155016444,2.925520186586105e-08,1.060882355358353e-08,0.2139572414348145,0.2457425480141972,120.48803186840269,1.1038722000084815,1,35.915296940903,67.991274777091,67.99127647598407,100.06725362120144,117.84172286255374,117.84172398196392,149.91770116802195,149.91770275847236,186.7588599489789,186.7588642832993
672,47,2031172111,512,165,0.0002383227698316,0.0005276416643601,4.5656448112347154e-08,1.7377060296745496e-08,0.2139572523105771,0.2457425146389622,106.61685250950502,1.0208085000049325,1,35.9152969099501,67.99127428758634,67.99127515013028,100.06725552155116,117.84172316538314,117.84172379565322,149.91770261218056,149.91770521730945,186.7588574042776,186.7588596489464
672,48,2031172112,512,153,0.0003559889938477,0.0005171558983612,1.0067273576814657e-07,3.728394503895203e-08,0.2139572676237448,0.2457425496731022,91.60373177917714,0.8764158999547362,1,35.91529626721184,67.99127720494259,67.99127970460077,100.06726257513913,117.8417250122478,117.84172676345923,149.91770787570144,149.9177134652247,186.75887090443044,186.7588720269054
672,49,2031172113,512,157,0.0002370814187797,0.0005487663156784,4.5236199804284296e-08,8.207158681157057e-09,0.2139572606137897,0.245742508807722,49.19618863712391,0.8951843999093398,1,35.91529719279867,67.99127448759388,67.99127655738837,100.06725594018366,117.84172261515732,117.84172386258258,149.91770392390845,149.9177051543068,186.7588564670688,186.7588672489218
672,50,2031172114,512,169,0.0002556692859214,0.0005161513472989,5.253377891685556e-08,2.05549796217269e-08,0.2139572587257317,0.24574253819542,141.0638952916225,0.8986580000491813,1,35.915296502148145,67.99127533585369,67.99127763676714,100.0672565648933,117.8417226960752,117.84172338851526,149.91770316678782,149.91770624834305,186.75886196684112,186.75886617338705
672,51,2031172115,512,171,0.0001892470753073,0.0004869190542994,2.8896176437126334e-08,4.94891153208629e-09,0.2139572511032667,0.2457425284494196,126.02932817432514,0.9005469999974594,1,35.9152959737022,67.99127435103507,67.99127458983195,100.0672557810364,117.8417227463241,117.84172332718852,149.91770196271867,149.9177027046481,186.7588569620482,186.7588596030077
672,52,2031172116,512,158,0.0002807756504554,0.0005770997023834,6.301202136546738e-08,3.6354515468021594e-08,0.2139572339181005,0.2457425571113975,113.92374696234148,0.88599650003016,1,35.915297453689675,67.99127656818845,67.99127873406651,100.06725933354348,117.8417249494772,117.84172630986218,149.91770236903176,149.91770781921704,186.75886637355487,186.75886997820797
672,53,2031172117,512,154,0.0003503134471008,0.0006106491858794,9.729705616900375e-08,3.356715855116473e-08,0.2139572612254919,0.2457425437431064,62.89156800645067,0.9077952000079677,1,35.91529824746623,67.99127774681816,67.99128124501267,100.06726200012736,117.8417241856249,117.84172777380854,149.9177079268394,149.91771295915055,186.758869509345,186.758879420605
672,54,2031172118,512,161,0.0002167154713529,0.0005049685057924,3.785236596298487e-08,6.628844621333486e-09,0.2139572590189881,0.2457425233358992,69.6784949157769,0.9251077000517398,1,35.91529635604872,67.99127419902509,67.99127490171921,100.0672544047438,117.84172295000998,117.8417232313214,149.91770305355828,149.9177040473394,186.75885753813236,186.7588579975049
